query,original_query,score,chunk_id,document_id,text,stage,page_idx,source_file,headers_norm,content,type
土石方工程 工程量,工程量,0.5635717511177063,100-172-68,100,"【海绵城市工程】
第173页（OCR识别）
分部分项工程量清单与计价表
工程名称：海绵城市工程
标段：
第2页共5页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
单位
工程量
综合
材料设备
合价
单价
暂估合价
下沉绿地海绵设施
050307019001
海绵城市增加费
m2
17100.00
47.34809514.00
分部小计
809514.00
本页小计
809514.00
合计
809514.00",土石方工程,172,100_origin.pdf,,"## 【海绵城市工程 - 第173页】

分部分项工程量清单与计价表
工程名称：海绵城市工程
标段：
第2页共5页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
单位
工程量
综合
材料设备
合价
单价
暂估合价
下沉绿地海绵设施
050307019001
海绵城市增加费
m2
17100.00
47.34809514.00
分部小计
809514.00
本页小计
809514.00
合计
809514.00",positive
土石方工程 工程量,工程量,0.6189917325973511,100-69-28,100,"【围墙工程】
第70页（OCR识别）
分部分项工程量清单与计价表
工程名称：围墙工程
标段：
第3页共6页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
单位
工程量
综合
合价
材料设备
单价
暂估合价
1.密实度满足设计要求
2.土方来源：现场开挖土方
12
010103001001
回填方
m3
3.其他：满足设计图纸，规范
1062.01
26.8628525.59
及招标文件要求
1.装车、运距、土石方类别：
投标人自行考虑
2.弃土场受纳处置费计入“工
13
010103002001
余方弃置
m3
程建设其他费用”中
321.49
40. 75
13100.72
3.其他：满足设计图纸，规范
及招标文件要求
分部小计
1464002. 90
本页小计
41626.31
合计
1464002. 90",土石方工程,69,100_origin.pdf,,"## 【围墙工程 - 第70页】

分部分项工程量清单与计价表
工程名称：围墙工程
标段：
第3页共6页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
单位
工程量
综合
合价
材料设备
单价
暂估合价
1.密实度满足设计要求
2.土方来源：现场开挖土方
12
010103001001
回填方
m3
3.其他：满足设计图纸，规范
1062.01
26.8628525.59
及招标文件要求
1.装车、运距、土石方类别：
投标人自行考虑
2.弃土场受纳处置费计入“工
13
010103002001
余方弃置
m3
程建设其他费用”中
321.49
40. 75
13100.72
3.其他：满足设计图纸，规范
及招标文件要求
分部小计
1464002. 90
本页小计
41626.31
合计
1464002. 90",positive
土石方工程 工程量,工程量,0.5538133382797241,100-158-64,100,"【外网工程】
第159页（OCR识别）
分部分项工程量清单与计价表
工程名称：外网工程
标段：
第4页共7页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
单位
工程量
综合
材料设备
合价
单价
暂估合价
1.填方材料品种：砂
010103001002
回填方
2.密实度：综合考虑
m3
17
660.00
322.48212836.80
3.满足设计及规范要求
1.余方弃置综合考虑
余方弃置
m3
18
010103002002
660.00
2.满足设计及规范要求
116.53
76909.80
分部小计
344313.87
室外雨水部分
1.输送介质：雨水
2.材质及规格：PVC-U雨水管
DN150
3.连接形式：粘接
040501004003
塑料管
4.铺设深度：综合考虑
19
IⅢ
200.00
61.22
12244.00
5.管道检验及试验要求：管道
闭水试验
6.其他：详见设计图纸，满足设
计及规范要求
1.输送介质：雨水
2.材质及规格：双壁波纹管雨
水管DN300
3.连接形式：橡胶圈连接
040501004004
塑料管
20
4.铺设深度：综合考虑
m
300.00
112.9933897.00
5.管道检验及试验要求：管道
闭水试验
6.其他：详见设计图纸，满足设
计及规范要求
1.圆形雨水检查井(含植盘)
2.详见图集02S515
砌筑井
座
21
040504001002
10
2459.1024591.00
3.其他：详见设计图纸，满足设
计及规范要求
1.雨水井型号：生态雨水口
2.附件：含配套井盖
雨水口
座
22
040504009001
3.其他：详见设计图纸，满足设
20
1302.5426050.80
计及规范要求
1.土壤类别：综合类别
010101003002
挖沟槽土方
2.挖土深度：综合考虑
m3
23
825.00
10.08
8316.00
3.满足设计及规范要求
1.填方材料品种：砂
010103001003
回填方
2.密实度：综合考虑
24
825.00
322.48266046.00
3.满足设计及规范要求
1.余方弃置综合考虑
010103002003
余方弃置
m3
25
825.00
116.53
96137.25
2.满足设计及规范要求
分部小计
467282.05
本页小计
757028.65
合
计
970982.46",土石方工程,158,100_origin.pdf,,"## 【外网工程 - 第159页】

分部分项工程量清单与计价表
工程名称：外网工程
标段：
第4页共7页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
单位
工程量
综合
材料设备
合价
单价
暂估合价
1.填方材料品种：砂
010103001002
回填方
2.密实度：综合考虑
m3
17
660.00
322.48212836.80
3.满足设计及规范要求
1.余方弃置综合考虑
余方弃置
m3
18
010103002002
660.00
2.满足设计及规范要求
116.53
76909.80
分部小计
344313.87
室外雨水部分
1.输送介质：雨水
2.材质及规格：PVC-U雨水管
DN150
3.连接形式：粘接
040501004003
塑料管
4.铺设深度：综合考虑
19
IⅢ
200.00
61.22
12244.00
5.管道检验及试验要求：管道
闭水试验
6.其他：详见设计图纸，满足设
计及规范要求
1.输送介质：雨水
2.材质及规格：双壁波纹管雨
水管DN300
3.连接形式：橡胶圈连接
040501004004
塑料管
20
4.铺设深度：综合考虑
m
300.00
112.9933897.00
5.管道检验及试验要求：管道
闭水试验
6.其他：详见设计图纸，满足设
计及规范要求
1.圆形雨水检查井(含植盘)
2.详见图集02S515
砌筑井
座
21
040504001002
10
2459.1024591.00
3.其他：详见设计图纸，满足设
计及规范要求
1.雨水井型号：生态雨水口
2.附件：含配套井盖
雨水口
座
22
040504009001
3.其他：详见设计图纸，满足设
20
1302.5426050.80
计及规范要求
1.土壤类别：综合类别
010101003002
挖沟槽土方
2.挖土深度：综合考虑
m3
23
825.00
10.08
8316.00
3.满足设计及规范要求
1.填方材料品种：砂
010103001003
回填方
2.密实度：综合考虑
24
825.00
322.48266046.00
3.满足设计及规范要求
1.余方弃置综合考虑
010103002003
余方弃置
m3
25
825.00
116.53
96137.25
2.满足设计及规范要求
分部小计
467282.05
本页小计
757028.65
合
计
970982.46",positive
土石方工程 工程量,工程量,0.543411135673523,100-157-63,100,"【外网工程】
第158页（OCR识别）
分部分项工程量清单与计价表
工程名称：外网工程
标段：
第3页共7页
金额(元)
项目名称
计量
序号
项目编码
项目特征描述
单位
工程量
综合
材料设备
合价
单价
暂估合价
1.安装部位(室内外)：室外
2.型号、规格：法兰闸阀
8
031003003076
法兰阀门
DN300
个
3738.51
3738.51
3.连接方式：法兰连接
4.满足设计及规范要求
1.安装部位(室内外)：室外
2.型号、规格：法兰闸阀
9
031003003077
法兰阀门
DN150
个
1268.20
6341.00
3.连接方式：法兰连接
4.满足设计及规范要求
1.土壤类别：综合类别
10
010101003008
挖沟槽土方
2.挖土深度：综合考虑
m3
98.00
10.08
987.84
3.满足设计及规范要求
1.填方材料品种：砂
010103001001
回填方
11
2.密实度：综合考虑
m3
98.00
322.4831603.04
3.满足设计及规范要求
1.余方弃置综合考虑
12
010103002001
余方弃置
2.满足设计及规范要求
m3
98.00
116.53
11419.94
分部小计
159386.54
室外污水部分
1.输送介质：污水
2.材质及规格：PVC-U双壁波纹
管DN300
3.连接形式：弹性密封橡胶圈
接口
040501004001
塑料管
4.铺设深度：综合考虑
Im
200.00
112.99
22598.00
5.管道检验及试验要求：管道
闭水试验
6.其他：详见设计图纸，满足设
计及规范要求
1.输送介质：污水
2.材质及规格：PVC-U排水管
DN150
3.连接形式：粘接
14
040501004002
塑料管
4.铺设深度：综合考虑
m
181.00
61.22
11080.82
5.管道检验及试验要求：管道
闭水试验
6.其他：详见设计图纸，满足设
计及规范要求
1.圆形污水检查井
15
040504001001
砌筑井
2.详见图集02S515
座
5
2847.1314235.65
3.满足设计及规范要求
1.土壤类别：综合类别
16
010101003001
挖沟槽土方
2.挖土深度：综合考虑
m3
660.00
10.08
6652.80
3.满足设计及规范要求
本页小计
108657.60",土石方工程,157,100_origin.pdf,,"## 【外网工程 - 第158页】

分部分项工程量清单与计价表
工程名称：外网工程
标段：
第3页共7页
金额(元)
项目名称
计量
序号
项目编码
项目特征描述
单位
工程量
综合
材料设备
合价
单价
暂估合价
1.安装部位(室内外)：室外
2.型号、规格：法兰闸阀
8
031003003076
法兰阀门
DN300
个
3738.51
3738.51
3.连接方式：法兰连接
4.满足设计及规范要求
1.安装部位(室内外)：室外
2.型号、规格：法兰闸阀
9
031003003077
法兰阀门
DN150
个
1268.20
6341.00
3.连接方式：法兰连接
4.满足设计及规范要求
1.土壤类别：综合类别
10
010101003008
挖沟槽土方
2.挖土深度：综合考虑
m3
98.00
10.08
987.84
3.满足设计及规范要求
1.填方材料品种：砂
010103001001
回填方
11
2.密实度：综合考虑
m3
98.00
322.4831603.04
3.满足设计及规范要求
1.余方弃置综合考虑
12
010103002001
余方弃置
2.满足设计及规范要求
m3
98.00
116.53
11419.94
分部小计
159386.54
室外污水部分
1.输送介质：污水
2.材质及规格：PVC-U双壁波纹
管DN300
3.连接形式：弹性密封橡胶圈
接口
040501004001
塑料管
4.铺设深度：综合考虑
Im
200.00
112.99
22598.00
5.管道检验及试验要求：管道
闭水试验
6.其他：详见设计图纸，满足设
计及规范要求
1.输送介质：污水
2.材质及规格：PVC-U排水管
DN150
3.连接形式：粘接
14
040501004002
塑料管
4.铺设深度：综合考虑
m
181.00
61.22
11080.82
5.管道检验及试验要求：管道
闭水试验
6.其他：详见设计图纸，满足设
计及规范要求
1.圆形污水检查井
15
040504001001
砌筑井
2.详见图集02S515
座
5
2847.1314235.65
3.满足设计及规范要求
1.土壤类别：综合类别
16
010101003001
挖沟槽土方
2.挖土深度：综合考虑
m3
660.00
10.08
6652.80
3.满足设计及规范要求
本页小计
108657.60",positive
土石方工程 工程量,工程量,0.5374851822853088,100-56-24,100,"【道路及广场铺装】
第57页（OCR识别）
分部分项工程量清单与计价表
工程名称：道路及广场铺装
标段：
第4页共7页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
工程量
综合
单位
材料设备
合价
单价
暂估合价
绿化与铺装交接处
500*200*200烧面芝麻深灰花
岗岩
10
050201003001
路牙铺设
20厚1:3水泥砂浆
m
3231.48
235.12759785.58
100厚C15砼
素土夯实，密度度>90%
绿化边缘收边花岗
600*150*50厚芝麻灰烧面花岗
11
050201003002
岩砌边
岩
m
2564.51
178.17456918.75
300厚MU7.5灰砂砖砌筑
500*100*50厚芝麻深灰火烧面
12
050201003003
共挤木收边平缘石
花岗岩平缘石
65.69
31.99
2101.42
30厚1:2水泥砂浆
分部小计
1218805.75
垃圾桶
(1)高度：0.8~1.2m
垃圾桶
13
050307017002
(2)其他：满足设计图纸，规范
个
31
520.00
16120.00
及招标文件要求
分部小计
16120.00
分部小计
5856765.42
本页小计
1234925.75
合
计
5856765.42",土石方工程,56,100_origin.pdf,,"## 【道路及广场铺装 - 第57页】

分部分项工程量清单与计价表
工程名称：道路及广场铺装
标段：
第4页共7页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
工程量
综合
单位
材料设备
合价
单价
暂估合价
绿化与铺装交接处
500*200*200烧面芝麻深灰花
岗岩
10
050201003001
路牙铺设
20厚1:3水泥砂浆
m
3231.48
235.12759785.58
100厚C15砼
素土夯实，密度度>90%
绿化边缘收边花岗
600*150*50厚芝麻灰烧面花岗
11
050201003002
岩砌边
岩
m
2564.51
178.17456918.75
300厚MU7.5灰砂砖砌筑
500*100*50厚芝麻深灰火烧面
12
050201003003
共挤木收边平缘石
花岗岩平缘石
65.69
31.99
2101.42
30厚1:2水泥砂浆
分部小计
1218805.75
垃圾桶
(1)高度：0.8~1.2m
垃圾桶
13
050307017002
(2)其他：满足设计图纸，规范
个
31
520.00
16120.00
及招标文件要求
分部小计
16120.00
分部小计
5856765.42
本页小计
1234925.75
合
计
5856765.42",positive
土石方工程 工程量,工程量,0.5369122624397278,100-63-26,100,"【升旗台及其他设施】
第64页（OCR识别）
分部分项工程量清单与计价表
工程名称：升旗台及其他设施
标段：
第3页共6页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
单位
工程量
综合
材料设备
合价
单价
暂估合价
装车、运距、土石方类别：投
标人自行考虑
余方弃置
弃土场受纳处置费计入“工程
10
010103002002
m3
86.92
40.75
3541.99
建设其他费用”中
其他：满足设计图纸，规范及
招标文件要求
分部小计
154196.33
分部小计
154196.33
本页小计
3541.99
合计
154196. 33",土石方工程,63,100_origin.pdf,,"## 【升旗台及其他设施 - 第64页】

分部分项工程量清单与计价表
工程名称：升旗台及其他设施
标段：
第3页共6页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
单位
工程量
综合
材料设备
合价
单价
暂估合价
装车、运距、土石方类别：投
标人自行考虑
余方弃置
弃土场受纳处置费计入“工程
10
010103002002
m3
86.92
40.75
3541.99
建设其他费用”中
其他：满足设计图纸，规范及
招标文件要求
分部小计
154196.33
分部小计
154196.33
本页小计
3541.99
合计
154196. 33",positive
土石方工程 工程量,工程量,0.5270431637763977,100-14-6,100,"【室外给排水、绿化用水工程】
第15页（OCR识别）
分部分项工程量清单与计价表
工程名称：室外给排水、绿化用水工程
标段：
第8页共15页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
工程量
综合
单位
材料设备
合价
单价
暂估合价
1.远程抄表水表
55
031003013019
水表
2.其他：详见设计图纸，满足设
组
1897.0813279.56
计及规范要求
1.名称：矩形水表井
2.井盖、井圈材质及规格：重
型球墨铸铁双层井座、井盖
56
040504001005
砌筑井
座
3.脚手架、模板
8763.14
8763.14
4.做法详见图集05S502
5.满足设计及规范要求
1.安装部位（室内外)：室外
2.型号、规格：DN100
3.附件配置：含2闸阀、1球阀
031003013020
水表组
57
组
、1Y型过滤器、1水表、1倒流
9919.33
9919.33
防止阀
4.满足设计及规范要求
1.土壤类别：综合类别
58
010101003005
挖沟槽土方
2.挖土深度：综合考虑
m3
439.05
10.07
4421.23
3.其他：满足设计及规范要求
1.填方材料品种：土方
59
010103001008
回填方
2.密实度：综合考虑
m3
353.80
24.98
8837.92
3.其他：满足设计及规范要求
1.填方材料品种：砂
60
010103001009
回填方
2.密实度：综合考虑
m3
84.17
406.37
34204.16
3.其他：满足设计及规范要求
1.余方弃置综合考虑
61
010103002004
余方弃置
85.25
2.其他：满足设计及规范要求
116.53
9934.18
分部小计
153269.88
室内绿化给水
1.室内PE给水管，Ps≥
1.0MPa，热熔连接DN15
050103001010
喷灌管线安装
62
2.满足设计及规范要求
m
1030.85
23.4524173.43
3.综合考虑地下室增加费、高
层增加费等
1.室内PE给水管，Ps≥
1.0MPa，热熔连接DN20
63
050103001011
喷灌管线安装
2.满足设计及规范要求
m
459.87
27.8312798.18
3.综合考虑地下室增加费、高
层增加费等
1.室内PE给水管，Ps≥
1.0MPa，热熔连接DN25
64
050103001012
喷灌管线安装
2.满足设计及规范要求
m
389.16
30.84
12001.69
3.综合考虑地下室增加费、高
层增加费等
本页小计
138332.82",土石方工程,14,100_origin.pdf,,"## 【室外给排水、绿化用水工程 - 第15页】

分部分项工程量清单与计价表
工程名称：室外给排水、绿化用水工程
标段：
第8页共15页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
工程量
综合
单位
材料设备
合价
单价
暂估合价
1.远程抄表水表
55
031003013019
水表
2.其他：详见设计图纸，满足设
组
1897.0813279.56
计及规范要求
1.名称：矩形水表井
2.井盖、井圈材质及规格：重
型球墨铸铁双层井座、井盖
56
040504001005
砌筑井
座
3.脚手架、模板
8763.14
8763.14
4.做法详见图集05S502
5.满足设计及规范要求
1.安装部位（室内外)：室外
2.型号、规格：DN100
3.附件配置：含2闸阀、1球阀
031003013020
水表组
57
组
、1Y型过滤器、1水表、1倒流
9919.33
9919.33
防止阀
4.满足设计及规范要求
1.土壤类别：综合类别
58
010101003005
挖沟槽土方
2.挖土深度：综合考虑
m3
439.05
10.07
4421.23
3.其他：满足设计及规范要求
1.填方材料品种：土方
59
010103001008
回填方
2.密实度：综合考虑
m3
353.80
24.98
8837.92
3.其他：满足设计及规范要求
1.填方材料品种：砂
60
010103001009
回填方
2.密实度：综合考虑
m3
84.17
406.37
34204.16
3.其他：满足设计及规范要求
1.余方弃置综合考虑
61
010103002004
余方弃置
85.25
2.其他：满足设计及规范要求
116.53
9934.18
分部小计
153269.88
室内绿化给水
1.室内PE给水管，Ps≥
1.0MPa，热熔连接DN15
050103001010
喷灌管线安装
62
2.满足设计及规范要求
m
1030.85
23.4524173.43
3.综合考虑地下室增加费、高
层增加费等
1.室内PE给水管，Ps≥
1.0MPa，热熔连接DN20
63
050103001011
喷灌管线安装
2.满足设计及规范要求
m
459.87
27.8312798.18
3.综合考虑地下室增加费、高
层增加费等
1.室内PE给水管，Ps≥
1.0MPa，热熔连接DN25
64
050103001012
喷灌管线安装
2.满足设计及规范要求
m
389.16
30.84
12001.69
3.综合考虑地下室增加费、高
层增加费等
本页小计
138332.82",positive
土石方工程 工程量,工程量,0.5309556722640991,100-186-73,100,"【管线迁改】
第187页（OCR识别）
分部分项工程量清单与计价表
标段：
第4页共7页
工程名称：管线迁改
金额(元)
计量
项目特征描述
工程量
综合
材料设备
项目编码
项目名称
序号
单位
合价
单价
暂估合价
1.雨水井型号：生态雨水口
2.附件：含配套井盖
座
1302.54
3907.62
040504009001
雨水口
16
3.其他：详见设计图纸，满足设
计及规范要求
1.土壤类别：综合类别
2.挖土深度：综合考虑
m3
59.40
10.08
598.75
挖沟槽土方
17
010101003002
3.满足设计及规范要求
1.填方材料品种：砂
回填方
2.密实度：综合考虑
m3
59.40
322.48
19155.31
18
010103001001
3.满足设计及规范要求
1.余方弃置综合考虑
m3
59.40
116.53
6921.88
余方弃置
19
010103002002
2.满足设计及规范要求
分部小计
37954.67
本页小计
30583.56
合计
95489.49",土石方工程,186,100_origin.pdf,,"## 【管线迁改 - 第187页】

分部分项工程量清单与计价表
标段：
第4页共7页
工程名称：管线迁改
金额(元)
计量
项目特征描述
工程量
综合
材料设备
项目编码
项目名称
序号
单位
合价
单价
暂估合价
1.雨水井型号：生态雨水口
2.附件：含配套井盖
座
1302.54
3907.62
040504009001
雨水口
16
3.其他：详见设计图纸，满足设
计及规范要求
1.土壤类别：综合类别
2.挖土深度：综合考虑
m3
59.40
10.08
598.75
挖沟槽土方
17
010101003002
3.满足设计及规范要求
1.填方材料品种：砂
回填方
2.密实度：综合考虑
m3
59.40
322.48
19155.31
18
010103001001
3.满足设计及规范要求
1.余方弃置综合考虑
m3
59.40
116.53
6921.88
余方弃置
19
010103002002
2.满足设计及规范要求
分部小计
37954.67
本页小计
30583.56
合计
95489.49",positive
土石方工程 工程量,工程量,0.5260927677154541,100-90-40,100,"【地面绿化】
第91页（OCR识别）
分部分项工程量清单与计价表
工程名称：地面绿化
标段：
第12页共16页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
单位
工程量
综合
材料设备
合价
单价
暂估合价
(1)回填部位：屋顶种植
(2)回填450mm种植土，运距综
合考虑
(3)100厚砾石过滤层
种植土回填（花池
58
050101009003
(4)无纺布一层（满铺）
m3
2533.21
225.29570706.88
(5)330x330x24排蓄水板（满铺
(6)其他：满足设计图纸，规范
及招标文件要求
1.回填部位：一层室外及足球
场
种植土回填（足球
2.回填600mm种植土，运距综
59
050101009004
m3
场）
合考虑
8401.75
46.76392865.83
3.其他：满足设计图纸，规范
及招标文件要求
分部小计
1099181.84
树木迁移
1.名称：原有乔木
2.胸（地）径：25cm以外-30cm以
内
3.运距：综合考虑
050102001001
移植乔木
株
60
4.养护：养护期6个月
1081.21
2162.42
5.其他：不分树种综合考虑起
挖、种植，满足招标文件、设
计及规范要求
1.名称：原有乔木
2.胸（地）径：20cm以外-25cm以
内
3.运距：综合考虑
050102001002
移植乔木
株
61
4.养护：养护期6个月
34
883.44
30036.96
5.其他：不分树种综合考虑起
挖、种植，满足招标文件、设
计及规范要求
1.名称：原有乔木
2.胸（地）径：15cm以外-20cm以
内
3.运距：综合考虑
62
050102001003
移植乔木
株
4.养护：养护期6个月
111
702.37
77963.07
5.其他：不分树种综合考虑起
挖、种植，满足招标文件、设
计及规范要求
本页小计
1073735.16",土石方工程,90,100_origin.pdf,,"## 【地面绿化 - 第91页】

分部分项工程量清单与计价表
工程名称：地面绿化
标段：
第12页共16页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
单位
工程量
综合
材料设备
合价
单价
暂估合价
(1)回填部位：屋顶种植
(2)回填450mm种植土，运距综
合考虑
(3)100厚砾石过滤层
种植土回填（花池
58
050101009003
(4)无纺布一层（满铺）
m3
2533.21
225.29570706.88
(5)330x330x24排蓄水板（满铺
(6)其他：满足设计图纸，规范
及招标文件要求
1.回填部位：一层室外及足球
场
种植土回填（足球
2.回填600mm种植土，运距综
59
050101009004
m3
场）
合考虑
8401.75
46.76392865.83
3.其他：满足设计图纸，规范
及招标文件要求
分部小计
1099181.84
树木迁移
1.名称：原有乔木
2.胸（地）径：25cm以外-30cm以
内
3.运距：综合考虑
050102001001
移植乔木
株
60
4.养护：养护期6个月
1081.21
2162.42
5.其他：不分树种综合考虑起
挖、种植，满足招标文件、设
计及规范要求
1.名称：原有乔木
2.胸（地）径：20cm以外-25cm以
内
3.运距：综合考虑
050102001002
移植乔木
株
61
4.养护：养护期6个月
34
883.44
30036.96
5.其他：不分树种综合考虑起
挖、种植，满足招标文件、设
计及规范要求
1.名称：原有乔木
2.胸（地）径：15cm以外-20cm以
内
3.运距：综合考虑
62
050102001003
移植乔木
株
4.养护：养护期6个月
111
702.37
77963.07
5.其他：不分树种综合考虑起
挖、种植，满足招标文件、设
计及规范要求
本页小计
1073735.16",positive
土石方工程 工程量,工程量,0.5228293538093567,100-10-2,100,"【室外给排水、绿化用水工程】
第11页（OCR识别）
分部分项工程量清单与计价表
工程名称：室外给排水、绿化用水工程
标段：
第4页共15页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
工程量
综合
单位
材料设备
合价
单价
暂估合价
1.输送介质：污水
2.材质及规格：PVC-U排水管
DN150
3.连接形式：粘接
17
040501004002
塑料管
4.铺设深度：综合考虑
m
121.32
61.22
7427.21
5.管道检验及试验要求：管道
闭水试验
6.其他：详见设计图纸，满足设
计及规范要求
1.圆形污水检查井（含植盘）
040504001002
砌筑井
2.详见图集02S515
座
21
2847.1459789.94
3.满足设计及规范要求
1.类型：整体化粪池G10-
40SQF
2.土方开挖回填外运等，外运
040504008001
化粪池
座
19
运距综合考虑
60880.5960880.59
3.详见图集03S702,满足设计
及规范要求
1.类型：酸碱中和池
2.土方开挖回填外运等，外运
040504008002
化粪池
运距综合考虑
座
20
46505.0646505.06
3.详见图集03S702，满足设计
及规范要求
1.土壤类别：综合类别
21
010101003003
挖沟槽土方
2.挖土深度：综合考虑
m3
359.38
10.07
3618.96
3.满足设计及规范要求
1.垫层材料品种：砂
22
010103001003
垫层
2.密实度：综合考虑
m3
45.59
406.37
18526.41
3.满足设计及规范要求
1.填方材料品种：土方
23
010103001004
回填方
2.密实度：综合考虑
m3
288.84
24.98
7215.22
3.满足设计及规范要求
1.余方弃置综合考虑
24
010103002002
余方弃置
m3
70.54
116.53
2.满足设计及规范要求
8220.03
分部小计
258057.36
室外雨水部分
1.室外盲管DN100
25
040501004003
塑料管
2.其他：详见设计图纸，满足设
m
423.00
23.8110071.63
计及规范要求
1.格栅溢流管DN200
26
040501004004
塑料管
2.其他：详见设计图纸，满足设
m
193.50
90.83
17575.61
计及规范要求
本页小计
239830.66",土石方工程,10,100_origin.pdf,,"## 【室外给排水、绿化用水工程 - 第11页】

分部分项工程量清单与计价表
工程名称：室外给排水、绿化用水工程
标段：
第4页共15页
金额(元)
计量
序号
项目编码
项目名称
项目特征描述
工程量
综合
单位
材料设备
合价
单价
暂估合价
1.输送介质：污水
2.材质及规格：PVC-U排水管
DN150
3.连接形式：粘接
17
040501004002
塑料管
4.铺设深度：综合考虑
m
121.32
61.22
7427.21
5.管道检验及试验要求：管道
闭水试验
6.其他：详见设计图纸，满足设
计及规范要求
1.圆形污水检查井（含植盘）
040504001002
砌筑井
2.详见图集02S515
座
21
2847.1459789.94
3.满足设计及规范要求
1.类型：整体化粪池G10-
40SQF
2.土方开挖回填外运等，外运
040504008001
化粪池
座
19
运距综合考虑
60880.5960880.59
3.详见图集03S702,满足设计
及规范要求
1.类型：酸碱中和池
2.土方开挖回填外运等，外运
040504008002
化粪池
运距综合考虑
座
20
46505.0646505.06
3.详见图集03S702，满足设计
及规范要求
1.土壤类别：综合类别
21
010101003003
挖沟槽土方
2.挖土深度：综合考虑
m3
359.38
10.07
3618.96
3.满足设计及规范要求
1.垫层材料品种：砂
22
010103001003
垫层
2.密实度：综合考虑
m3
45.59
406.37
18526.41
3.满足设计及规范要求
1.填方材料品种：土方
23
010103001004
回填方
2.密实度：综合考虑
m3
288.84
24.98
7215.22
3.满足设计及规范要求
1.余方弃置综合考虑
24
010103002002
余方弃置
m3
70.54
116.53
2.满足设计及规范要求
8220.03
分部小计
258057.36
室外雨水部分
1.室外盲管DN100
25
040501004003
塑料管
2.其他：详见设计图纸，满足设
m
423.00
23.8110071.63
计及规范要求
1.格栅溢流管DN200
26
040501004004
塑料管
2.其他：详见设计图纸，满足设
m
193.50
90.83
17575.61
计及规范要求
本页小计
239830.66",positive
